episode,intrinsic_contribution,td_abs_mean,learn_calls,gate_advance,gate_neutral,gate_proxy,allowed_intrinsic,suppressed_intrinsic,proxy_penalty_total,proxy_penalty_count
1,53.64408658242517,0.2927039037256137,276,0,0,0,0.0,0.0,0.0,0
2,52.28128986655792,0.2875668842183507,276,0,0,0,0.0,0.0,0.0,0
3,39.022318298470516,0.23088025017497465,97,0,0,0,0.0,0.0,0.0,0
4,32.66478648727148,0.2423035313685735,90,0,0,0,0.0,0.0,0.0,0
5,31.84346142489481,0.2677892001085384,93,0,0,0,0.0,0.0,0.0,0
6,30.883399093534848,0.2589709830398743,104,0,0,0,0.0,0.0,0.0,0
7,30.00206409420101,0.28631001987408117,97,0,0,0,0.0,0.0,0.0,0
8,28.827723271816932,0.2610730263068504,97,0,0,0,0.0,0.0,0.0,0
9,27.749193064912713,0.24646852311399794,97,0,0,0,0.0,0.0,0.0,0
10,38.40500410251017,0.21097161561466646,276,0,0,0,0.0,0.0,0.0,0
11,34.60882894200841,0.18753082151322262,276,0,0,0,0.0,0.0,0.0,0
12,34.946325921653425,0.19688956736438518,276,0,0,0,0.0,0.0,0.0,0
13,27.689179509638574,0.22442155191213778,101,0,0,0,0.0,0.0,0.0,0
14,23.56936193760245,0.20680945496196332,92,0,0,0,0.0,0.0,0.0,0
15,24.03164805027557,0.18898955934515624,107,0,0,0,0.0,0.0,0.0,0
16,22.12415281471409,0.1830980473308153,93,0,0,0,0.0,0.0,0.0,0
17,21.452660137524468,0.1821040530698468,99,0,0,0,0.0,0.0,0.0,0
18,24.217069051943156,0.1744153292822665,276,0,0,0,0.0,0.0,0.0,0
19,41.43042860092799,0.19642307263785513,276,0,0,0,0.0,0.0,0.0,0
20,24.976522923302777,0.20366622067556,276,0,0,0,0.0,0.0,0.0,0
21,23.56898623597688,0.18624483771843486,202,0,0,0,0.0,0.0,0.0,0
22,26.446276485259197,0.17172014443338782,276,0,0,0,0.0,0.0,0.0,0
23,18.205258515982255,0.15722293224599626,90,0,0,0,0.0,0.0,0.0,0
24,42.807472240641594,0.22796670630898164,276,0,0,0,0.0,0.0,0.0,0
25,22.6887689070594,0.19562476163433082,276,0,0,0,0.0,0.0,0.0,0
26,44.99183734192998,0.18124529927213123,276,0,0,0,0.0,0.0,0.0,0
27,20.4360300962049,0.15924278381142284,101,0,0,0,0.0,0.0,0.0,0
28,17.85041677071745,0.17003772636567513,127,0,0,0,0.0,0.0,0.0,0
29,17.086077533160292,0.2878873241470032,97,0,0,0,0.0,0.0,0.0,0
30,21.64601222235593,0.2113867633152699,276,0,0,0,0.0,0.0,0.0,0
31,31.81649636434118,0.18168568905388963,276,0,0,0,0.0,0.0,0.0,0
32,15.686896579910199,0.17243023100826477,90,0,0,0,0.0,0.0,0.0,0
33,15.911484882082092,0.17226787174891944,99,0,0,0,0.0,0.0,0.0,0
34,15.27688132535136,0.17651728408204184,90,0,0,0,0.0,0.0,0.0,0
35,15.094834109898104,0.2080647779835595,90,0,0,0,0.0,0.0,0.0,0
36,18.072221463914893,0.27170174620529214,101,0,0,0,0.0,0.0,0.0,0
37,15.219834671239521,0.2238608302288158,93,0,0,0,0.0,0.0,0.0,0
38,47.29107835760042,0.18405268368297728,276,0,0,0,0.0,0.0,0.0,0
39,40.2294162913577,0.17061199336920096,276,0,0,0,0.0,0.0,0.0,0
40,14.513444400121836,0.1706946705184553,92,0,0,0,0.0,0.0,0.0,0
41,20.300189111939723,0.2175529204254997,276,0,0,0,0.0,0.0,0.0,0
42,14.09304854745983,0.2181270558225072,92,0,0,0,0.0,0.0,0.0,0
43,16.342641902731312,0.19333455106704542,101,0,0,0,0.0,0.0,0.0,0
44,47.17876445564051,0.178452811865271,276,0,0,0,0.0,0.0,0.0,0
45,13.814950573666549,0.18023150819151298,92,0,0,0,0.0,0.0,0.0,0
46,13.674322128346732,0.17447532834890095,92,0,0,0,0.0,0.0,0.0,0
47,29.818143676868445,0.19039135167132254,276,0,0,0,0.0,0.0,0.0,0
48,31.23244391323042,0.21752453071699626,276,0,0,0,0.0,0.0,0.0,0
49,19.46517791799316,0.17590302620353043,276,0,0,0,0.0,0.0,0.0,0
50,13.599284313079945,0.1695117426594508,97,0,0,0,0.0,0.0,0.0,0
51,30.319916679382708,0.16341616083746371,276,0,0,0,0.0,0.0,0.0,0
