variant,n_seeds,use_per_first,use_spie_first,success_rate_mean,success_rate_std,heldout_greedy_success_mean,heldout_greedy_success_std,mean_trap_hits_mean,mean_trap_hits_std,reward_hack_rate_mean,mean_final_reward_mean,mean_final_reward_std,mean_episode_length_mean,mean_true_score_mean,mean_alignment_gap_mean,mean_alignment_gap_std,mean_intrinsic_contribution_mean,mean_td_abs_mean
noisy_dueling_ddqn,3,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.7891999999999872,0.09245799046053173,275.92833333333334,-0.9891666666666666,-1.691574999999988,0.06858618209960193,0.0,0.012144597202358933
noisy_dueling_ddqn_per,3,True,False,0.0,0.0,0.0,0.0,0.19999999999999998,0.3399356556761882,0.06999999999999999,-3.3766333333333165,0.3586836535630438,275.935,-1.9066666666666665,-0.8855833333333184,1.8148752454255221,0.0,0.10173020520119704
noisy_dueling_ddqn_spie,3,False,True,0.0,0.0,0.0,0.0,0.30833333333333335,0.21967779435649237,0.12416666666666666,-3.0075999999999823,0.3039741436372519,275.6425,-2.4291666666666667,-0.18476666666664768,1.1540857218306344,21.79679750785473,0.20940823507836023
noisy_dueling_ddqn_per_spie,3,True,True,0.0,0.0,0.0,0.0,0.47,0.16671457644729204,0.20833333333333334,-3.043899999999983,0.3968034400052511,275.9141666666667,-2.955833333333333,0.4348666666666863,0.9663278617831196,20.99102885982887,0.3220804661616574
