seed,mode,abstraction,demo_sweeps,final_success_rate,final_mean_return,final_mean_steps,episodes_to_90pct,env_steps_to_90pct,greedy_eval_success,q_table_size,sr_states,first_manifest_read_ep,first_archive_read_ep,first_diagnostics_read_ep,first_sample_present_ep,first_refined_ep,first_analyzed_ep
0,full,milestone,50,0.96,8.565499999999998,114.35,1255,218874,0.0,4101,563,1,1,4,3,154,66
1,full,milestone,50,0.92,8.054699999999999,123.41,1274,217084,0.0,4556,602,2,3,2,1,1,51
