episode,intrinsic_contribution,td_abs_mean,learn_calls
1,84.93934917893223,0.5476430244473875,276
2,98.02399614655506,0.5104756006512089,276
3,97.31552758045451,0.4762993416060572,276
4,93.45010211187099,0.4056950548960679,276
5,115.12985574002354,0.28073941233257454,276
6,103.56433210424856,0.26288474656209565,276
7,94.54599097434993,0.2586318558972815,276
8,80.46810367354527,0.19091025561742161,276
9,74.13360881443916,0.1512970301606085,276
10,87.27888054773841,0.1402029463670392,276
11,83.05366977076751,0.1331706347780815,276
12,72.67724757049619,0.10666335722350556,276
13,59.81865492355393,0.09329182781495046,276
14,42.9221824690977,0.09709405383446078,276
15,92.36012365192148,0.1046546317394013,276
16,68.23290956557607,0.09255425596906655,276
17,59.92935151218612,0.08971488950909048,276
18,48.689719781932126,0.09341521006401467,276
19,58.794375958135625,0.10171782595199952,276
20,52.45969467979739,0.0919759829218189,276
21,45.4922918751226,0.0910819535130176,276
22,53.84220563770281,0.09903811192328947,276
23,52.99893244214143,0.09558865027097256,276
24,45.91304058189636,0.09584522819605426,276
25,47.0146679195099,0.08913372635193494,276
26,44.44049641533544,0.10313253234262051,276
27,38.84890233910958,0.09640423612048228,276
28,46.849255672947024,0.09236634332362724,276
29,39.69290385563133,0.09429396753725798,276
30,36.02265398431158,0.09484206067155236,276
31,30.751334314897676,0.09212840383575446,276
32,53.761594941683526,0.08752976190568744,276
33,46.215875453792286,0.0921122466713406,276
34,30.975190760651895,0.09822231737653846,276
35,42.233019910948734,0.0898357847219576,276
36,45.125378540366015,0.09062758065166249,276
37,40.86512627393167,0.10269865346397611,276
38,31.48505867284428,0.0960249981937417,276
39,20.15739002048261,0.0952643009469561,276
40,36.51977481471079,0.0966916389061489,276
41,38.7814719675282,0.09852041088152623,276
42,19.766350826040323,0.095545067883812,276
43,23.535052618734806,0.09311681188157071,276
44,49.78238158333614,0.0982086013165721,276
45,33.99051516624934,0.09792320075296405,276
46,54.93745013077167,0.08820412473996049,276
47,89.08927239731086,0.09436080913882756,276
48,86.54670009705778,0.10706072203491045,276
49,42.10353939677714,0.10175724004975696,276
50,32.55766300730217,0.09702500209644221,276
51,56.93675764976571,0.10642145853489637,276
52,43.29319444980718,0.10364876499912445,276
53,37.202318596370056,0.09362315514759309,276
54,28.86545701594765,0.10183467354247536,276
55,17.40235076963461,0.11388172287547933,276
56,61.34408892074363,0.09999840657996095,276
57,33.544670259732776,0.1026058318498342,276
58,25.091032414434913,0.10931428938942112,276
59,21.2441133489017,0.12100462561500246,276
60,26.14073933400555,0.11065386340993902,276
61,52.08842954389863,0.10425063530388086,276
62,35.191266131858484,0.11735744686608297,276
63,26.37239944219268,0.11396625335665717,276
64,21.32205892571966,0.11095726436031038,276
65,32.15262101918557,0.106638562352653,276
66,64.13929587224396,0.1298200937554888,276
67,30.14093961248827,0.11476405194380145,276
68,25.386939673623935,0.1119979892897865,276
69,29.987506941662957,0.11659012817224298,276
70,21.811840295755733,0.12394110242957654,276
71,26.381457616237476,0.11811506513344205,276
72,19.277056465301985,0.10897472930019317,276
73,17.438871265493734,0.1230710940570503,276
74,20.009512652214084,0.1190490121750728,276
75,31.359299370538885,0.11432596687497436,276
76,23.684897906784187,0.11420813799444315,276
77,20.651370615745105,0.13419673454178416,276
78,15.798384254393453,0.11533264748320199,276
79,23.541057039003714,0.12092934986171515,276
80,25.655023973784072,0.1338880028899597,276
81,40.69708189815682,0.13556675872077112,276
82,18.109227154743213,0.1218947713141856,276
83,19.665109772198864,0.11491165204864481,276
84,38.25940799212775,0.12735810632938924,276
85,23.884387780692126,0.1274720776718164,276
86,21.098210128282467,0.114684473939132,276
87,55.77309424468187,0.12037519632798174,276
88,21.010588528721424,0.12975458080030006,276
89,25.45822089489355,0.12891682761086934,276
90,18.369309221942533,0.12620942826396314,276
91,27.34025641840888,0.1324657760290564,276
92,30.960510846222643,0.1260268966788831,276
93,10.313892229815716,0.118269181985786,276
94,30.964110121899513,0.12133118836884049,276
95,21.43629937864471,0.1290716162842253,276
96,18.339575414102182,0.1292774163024581,276
97,20.002429837721476,0.11776639515723007,276
98,27.59968357720665,0.12674312312425912,276
99,21.61141262373003,0.13756449121064035,276
100,26.390728728768455,0.1306763409866371,276
101,21.4789569157891,0.12180966338601665,276
102,18.20987088349261,0.13247626963193002,276
103,24.87819729130976,0.13130721673909304,276
104,25.050758370402068,0.13093560110723626,276
105,26.58869663995629,0.13659018413096236,276
106,17.250616407245904,0.1341643282684727,276
107,18.917154150398098,0.132257838693002,276
108,17.255145147100425,0.13263779271232046,276
109,16.25628679466961,0.13415263663383498,276
110,15.831678758216649,0.13043438807885716,276
111,27.633020513489612,0.140763518359998,276
112,18.24472110884996,0.13719621230510698,276
113,24.118521044345712,0.14873667846879232,276
114,18.063211277266046,0.14702284635733004,276
115,21.6827150344707,0.13533397515614828,276
116,25.280495292970333,0.13304207646760388,276
117,22.51131971916166,0.15259468091138895,276
118,16.239812695133946,0.11940307866619981,276
119,10.755097915384379,0.13843688150138958,276
120,10.163679602044443,0.1413339302483676,276
121,18.501077771859254,0.13188446000002432,276
