seed,mode,abstraction,demo_sweeps,final_success_rate,final_mean_return,final_mean_steps,episodes_to_90pct,env_steps_to_90pct,greedy_eval_success,q_table_size,sr_states,first_manifest_read_ep,first_archive_read_ep,first_diagnostics_read_ep,first_sample_present_ep,first_refined_ep,first_analyzed_ep
0,full,milestone,50,0.96,9.129900000000001,73.01,1028,172015,1.0,5919,680,1,1,4,3,122,177
1,full,milestone,50,0.95,9.0096,74.78,862,155097,1.0,5887,640,2,3,2,1,1,51
