seed,version,algo,train_greedy_success,heldout_greedy_success,generalization_gap,final_train_episode_success,q_table_size,learn_steps
0,v1_1,ddqn,1.0,0.0,1.0,0.2,0,12948
1,v1_1,ddqn,1.0,0.25,0.75,0.3333333333333333,0,11356
