seed,version,algo,train_greedy_success,heldout_greedy_success,generalization_gap,final_train_episode_success,q_table_size
0,v1_1,q_learning,1.0,0.0,1.0,0.94,13879
1,v1_1,q_learning,0.875,0.125,0.75,0.88,12591
2,v1_1,q_learning,1.0,0.0,1.0,0.94,12799
