episode,intrinsic_contribution,td_abs_mean,learn_calls,gate_advance,gate_neutral,gate_proxy,allowed_intrinsic,suppressed_intrinsic,proxy_penalty_total,proxy_penalty_count
1,2.9929679720437714,0.23388059394455504,87,6,81,0,2.9929679720437714,35.682693894945075,0.0,0
2,-9.26071504863467,0.3089980436059145,130,6,118,6,2.9637724657141424,40.50869711672868,12.224487514348814,6
3,2.914381951871417,0.2584502140478212,98,6,92,0,2.914381951871417,30.82384719328418,0.0,0
4,2.851549447344806,0.26170494650699655,98,6,92,0,2.851549447344806,28.924749104091052,0.0,0
5,2.7827577319882106,0.23768542590094546,102,6,96,0,2.7827577319882106,28.26132588926422,0.0,0
6,2.7120801647070625,0.20490394222239652,276,6,270,0,2.7120801647070625,33.534778562067274,0.0,0
7,2.6404020121780825,0.20910702545897683,276,6,270,0,2.6404020121780825,30.950154995945145,0.0,0
8,2.5711092206383097,0.21336076645688576,88,6,82,0,2.5711092206383097,23.12151201631303,0.0,0
9,2.504284319159273,0.23064397858536761,92,6,86,0,2.504284319159273,23.707000466757773,0.0,0
10,2.4411026884294564,0.20085971665450897,87,6,81,0,2.4411026884294564,21.508098811648907,0.0,0
11,2.3809702027518433,0.17932965589708158,89,6,83,0,2.3809702027518433,21.184552550356916,0.0,0
12,2.3239846824586534,0.186222313079929,276,6,270,0,2.3239846824586534,25.95353452071124,0.0,0
13,2.2698827167214635,0.18556848496198655,100,6,94,0,2.2698827167214635,24.074723878450676,0.0,0
14,2.218459257960243,0.17417602712402538,98,6,92,0,2.218459257960243,20.22850042168853,0.0,0
15,2.170596902348658,0.20462829090546872,276,6,270,0,2.170596902348658,23.81691680101508,0.0,0
16,2.125064537651169,0.19166921809011575,98,6,92,0,2.125064537651169,19.19340720765851,0.0,0
17,2.0818208352961443,0.1531536382879468,276,6,270,0,2.0818208352961443,30.772849385447206,0.0,0
18,1.9367347397230232,0.1453133794762518,276,6,270,0,1.9367347397230232,22.378753449001533,0.0,0
19,1.9060863721388746,0.1322699747979641,88,6,82,0,1.9060863721388746,17.041343029017778,0.0,0
20,1.877573160621401,0.14743675909597764,88,6,82,0,1.877573160621401,16.703378710777237,0.0,0
21,1.8507834794480416,0.24719567288612498,87,6,81,0,1.8507834794480416,16.202229319648996,0.0,0
22,1.825410655941162,0.19413424465729265,98,6,92,0,1.825410655941162,16.135290512571316,0.0,0
23,1.8009300929438632,0.1496153619086397,276,6,270,0,1.8009300929438632,21.082661461035254,0.0,0
24,1.7775301542983573,0.13277535448255745,276,6,270,0,1.7775301542983573,20.132331149487722,0.0,0
25,1.7550543974324821,0.1328541139513254,100,6,94,0,1.7550543974324821,19.465652751400608,0.0,0
26,1.7334131148315362,0.13358477381419162,98,6,92,0,1.7334131148315362,15.066170295061957,0.0,0
27,1.712426747064577,0.16794732339680196,100,6,94,0,1.712426747064577,18.828070576572372,0.0,0
28,1.6921073928882997,0.21865773175589062,88,6,82,0,1.6921073928882997,14.688210118261956,0.0,0
29,1.6718635851744357,0.1665702086594916,97,6,91,0,1.6718635851744357,18.18456435244958,0.0,0
30,1.6636293312309047,0.15129004859802675,98,6,92,0,1.6636293312309047,14.36781225768287,0.0,0
31,1.6432132347251982,0.1284501094074137,276,6,270,0,1.6432132347251982,19.805697708898343,0.0,0
32,1.6369534523022746,0.12600750295256358,276,6,270,0,1.6369534523022746,19.2329361185028,0.0,0
33,1.6150935582951784,0.16389304097147955,276,6,270,0,1.6150935582951784,19.843931804919897,0.0,0
34,1.593655499124391,0.16872854505411602,88,6,82,0,1.593655499124391,13.547262377985163,0.0,0
35,1.5723013825400638,0.12926849573040786,276,6,270,0,1.5723013825400638,22.414432753786123,0.0,0
36,1.5512502453951416,0.10982717091048305,88,6,82,0,1.5512502453951416,13.16733808221936,0.0,0
37,1.5304653351962172,0.1140703591613137,98,6,92,0,1.5304653351962172,13.068993374222138,0.0,0
38,1.5096218558824146,0.11268494974659837,276,6,270,0,1.5096218558824146,26.11591430847516,0.0,0
39,1.4891497533395048,0.1919757058577878,98,6,92,0,1.4891497533395048,12.726713129152456,0.0,0
40,1.4692879320006773,0.17060634344816208,100,6,94,0,1.4692879320006773,16.054952991046573,0.0,0
41,1.449513479138537,0.1512565657342832,97,6,91,0,1.449513479138537,15.949959466577097,0.0,0
42,1.4416496285428053,0.11733610093593598,100,6,94,0,1.4416496285428053,15.50234776578918,0.0,0
43,1.4220109638232696,0.11587004854843236,276,6,270,0,1.4220109638232696,18.517915936229027,0.0,0
44,1.4029719459709293,0.10206480793978857,276,6,270,0,1.4029719459709293,24.590596542148887,0.0,0
45,1.384831447851255,0.1379680484905839,100,6,94,0,1.384831447851255,14.922009042155016,0.0,0
46,1.3675148913765554,0.20355352029508475,98,6,92,0,1.3675148913765554,12.116455406932126,0.0,0
47,1.3508707156941053,0.15741121347831644,92,6,86,0,1.3508707156941053,13.075892191022932,0.0,0
48,1.3346221586758586,0.14136939065665313,97,6,91,0,1.3346221586758586,14.78007507576659,0.0,0
49,1.3299961017196023,0.10841182661175296,276,6,270,0,1.3299961017196023,27.576472197887735,0.0,0
50,1.3141446091552016,0.10111232885074886,88,6,82,0,1.3141446091552016,11.821165865255804,0.0,0
51,1.2989453816918022,0.0997884167979161,276,6,270,0,1.2989453816918022,18.960282223189836,0.0,0
52,-4.049472400637549,0.16255154036849306,276,6,265,5,1.2843578403604987,17.81861308354666,5.333830240998047,5
53,1.270337676359017,0.1328445319466445,98,6,92,0,1.270337676359017,11.905652072309389,0.0,0
54,1.2570026867482975,0.12275891497053883,88,6,82,0,1.2570026867482975,11.315502157967487,0.0,0
55,1.2441349354592517,0.10933576111236344,276,6,270,0,1.2441349354592517,24.82570156340897,0.0,0
56,1.231862755292438,0.09537593684280696,276,6,270,0,1.231862755292438,17.6960845763107,0.0,0
57,1.2201090760225295,0.16164687253078636,98,6,92,0,1.2201090760225295,11.232414688045603,0.0,0
58,1.2088220989256317,0.17284395040451794,87,6,81,0,1.2088220989256317,10.857427675433009,0.0,0
59,1.197954926614285,0.15907812338661065,88,6,82,0,1.197954926614285,10.953643240312612,0.0,0
60,1.1874672861733133,0.1203298650004647,88,6,82,0,1.1874672861733133,10.935176774076035,0.0,0
61,1.1773256638402485,0.11908688396215439,98,6,92,0,1.1773256638402485,10.91296425092111,0.0,0
62,1.1673794295237638,0.10088814091801211,276,6,270,0,1.1673794295237638,18.02505045837516,0.0,0
63,1.1576436097376412,0.09310463527082533,276,6,270,0,1.1576436097376412,48.82591678707695,0.0,0
64,1.1249143929876984,0.17758721295744181,100,6,94,0,1.1249143929876984,13.143661058383167,0.0,0
65,1.1209186668662352,0.15315228292057592,93,6,87,0,1.1209186668662352,11.729889330904891,0.0,0
66,1.116576592544537,0.11760461408698904,276,6,270,0,1.116576592544537,16.3759194969949,0.0,0
67,-26.770873497854105,0.10323806565956793,276,6,233,37,1.1120102434443968,29.647573206489017,27.8828837412985,37
68,1.107224777043403,0.09116229917044225,92,6,86,0,1.107224777043403,11.318919614594995,0.0,0
69,1.1021398663691389,0.09934189421485881,98,6,92,0,1.1021398663691389,10.832071072261057,0.0,0
70,1.0968168735476371,0.14408177677272022,276,6,270,0,1.0968168735476371,23.901232972700306,0.0,0
71,1.0913354661459254,0.11816116001295007,92,6,86,0,1.0913354661459254,11.054847571304563,0.0,0
72,1.0857275076457593,0.10332108722353468,98,6,92,0,1.0857275076457593,10.245090830566077,0.0,0
73,1.0800131562080146,0.09466270238838413,88,6,82,0,1.0800131562080146,10.017819597280045,0.0,0
74,1.0741232172361288,0.0965668505354636,276,6,270,0,1.0741232172361288,28.831085561016163,0.0,0
75,1.0701740822128771,0.08694777745753526,100,6,94,0,1.0701740822128771,12.252310297862566,0.0,0
76,1.0645946317729653,0.12977753252978774,276,6,270,0,1.0645946317729653,19.1085202581415,0.0,0
77,1.058862979998105,0.12454945051475712,276,6,270,0,1.058862979998105,31.15542221914195,0.0,0
78,1.053225890314912,0.0974705475449994,276,6,270,0,1.053225890314912,15.854089012562339,0.0,0
79,1.0475910069454593,0.08784176187886708,276,6,270,0,1.0475910069454593,17.701946441149786,0.0,0
80,1.0420251503619693,0.12041912346400997,88,6,82,0,1.0420251503619693,9.838351142829593,0.0,0
81,1.0364858108461206,0.16504995380433238,98,6,92,0,1.0364858108461206,10.863485788416375,0.0,0
82,1.0310617217834415,0.11079700628592484,276,6,270,0,1.0310617217834415,18.578776543718337,0.0,0
83,1.0257269496966974,0.09726980980485678,88,6,82,0,1.0257269496966974,9.620578238349161,0.0,0
84,1.0205028633072417,0.09136722537864378,276,6,270,0,1.0205028633072417,18.328324236797293,0.0,0
85,1.015340624915383,0.10963120457270871,92,6,86,0,1.015340624915383,10.267958814563848,0.0,0
86,1.0102801013417693,0.1002746731550856,88,6,82,0,1.0102801013417693,9.500370499106767,0.0,0
87,1.0053202880059366,0.13171738233755936,88,6,82,0,1.0053202880059366,9.445376462861725,0.0,0
88,1.0007952522391161,0.15868034169077874,100,6,94,0,1.0007952522391161,11.564063899740827,0.0,0
89,0.996255688825119,0.10941007211036288,97,6,91,0,0.996255688825119,12.20345073145315,0.0,0
90,1.000285117471064,0.09439089616798625,98,6,92,0,1.000285117471064,9.48964312253973,0.0,0
91,0.9949646108101802,0.09858203139426051,276,6,270,0,0.9949646108101802,17.24102046996519,0.0,0
92,0.9897935976403076,0.09401182369473055,97,6,91,0,0.9897935976403076,11.94100025972064,0.0,0
93,0.9939971460585211,0.08428838591266802,276,6,270,0,0.9939971460585211,22.360800160430305,0.0,0
94,0.9911662572592281,0.14562699632072934,98,6,92,0,0.9911662572592281,9.335940296278634,0.0,0
95,0.9868471959897696,0.11407510828280794,276,6,270,0,0.9868471959897696,14.72275456431873,0.0,0
96,0.9824241727559452,0.08172789329419965,276,6,270,0,0.9824241727559452,19.157518882441916,0.0,0
97,0.9779730174056835,0.08616595171477603,87,6,81,0,0.9779730174056835,8.99558377649462,0.0,0
98,0.973463555123389,0.07894311331050552,276,6,270,0,0.973463555123389,14.887726518184914,0.0,0
99,0.9689580877273166,0.15594050441820598,97,6,91,0,0.9689580877273166,11.616749085532852,0.0,0
100,0.9735251492785195,0.1173933399166318,276,6,270,0,0.9735251492785195,14.906220526642912,0.0,0
101,0.9679112250286449,0.08568338047444206,97,6,91,0,0.9679112250286449,11.407996985846633,0.0,0
102,0.972408067599464,0.08362142466516657,88,6,82,0,0.972408067599464,8.963638929314712,0.0,0
103,0.9660437899588522,0.07893181337124627,276,6,270,0,0.9660437899588522,17.37219888532884,0.0,0
104,0.9600579932745921,0.10430946840864161,276,6,270,0,0.9600579932745921,16.123365799215303,0.0,0
105,0.9558185002097286,0.11288117898115213,276,6,270,0,0.9558185002097286,36.227589782423536,0.0,0
106,0.9529038505170961,0.08517830003646837,276,6,270,0,0.9529038505170961,23.504900366867872,0.0,0
107,0.9173700896452546,0.08205539897840092,276,6,270,0,0.9173700896452546,13.545145064190004,0.0,0
108,0.9170091317491387,0.11633255083005929,276,6,270,0,0.9170091317491387,15.905280875418013,0.0,0
109,0.9108698666351644,0.09303182217737903,92,6,86,0,0.9108698666351644,9.490197815033016,0.0,0
110,0.910249950356433,0.08100558353625999,98,6,92,0,0.910249950356433,9.047399349385975,0.0,0
111,0.9094064670588494,0.09881474940187257,276,6,270,0,0.9094064670588494,14.042733033050695,0.0,0
112,0.9084090557810576,0.07862541430454323,276,6,270,0,0.9084090557810576,14.861066216564135,0.0,0
113,0.9057406255037513,0.12338400395079092,132,6,126,0,0.9057406255037513,11.690560292659125,0.0,0
114,0.9048154731614575,0.127997486414958,98,6,92,0,0.9048154731614575,9.19234617539477,0.0,0
