seed,version,algo,train_greedy_success,heldout_greedy_success,generalization_gap,final_train_episode_success,q_table_size
0,v1_3,q_learning,1.0,0.0,1.0,0.67,41853
1,v1_3,q_learning,1.0,0.0625,0.9375,0.71,40977
2,v1_3,q_learning,1.0,0.0,1.0,0.71,41546
