seed,version,algo,train_greedy_success,heldout_greedy_success,generalization_gap,final_train_episode_success,q_table_size,learn_steps
0,v1_2,spie_dueling_ddqn_per,1.0,0.0,1.0,0.26666666666666666,0,12302
1,v1_2,spie_dueling_ddqn_per,1.0,0.0,1.0,0.25,0,13325
