variant,success_rate_mean,mean_trap_hits_mean,mean_trap_hits_std,reward_hack_rate_mean,mean_alignment_gap_mean,mean_alignment_gap_std,mean_true_score_mean,proxy_penalty_count_mean,mean_proxy_penalty_mean
plain_noisy,0.546,0.2465,0.3891721983903783,0.0829999999999999,0.9318200000000032,1.9668835305979655,4.1955,0.0,0.0
naive_spie,0.5439999999999999,0.378,0.3273778398120435,0.1285,1.6681200000000045,1.383115485891366,3.881,0.0,0.0
pg_spie,0.5439999999999999,0.374,0.4384724905852133,0.128,1.4890250000000045,2.1153760422942587,3.882,0.0,0.0
pg_spie_r2_k1,0.546,0.3085,0.3847019950559133,0.1045,1.1877700000000035,1.8993639151864803,4.0895,1306.8,0.0932583470835397
pg_spie_r2_k4,0.546,0.039,0.0504232089419148,0.013,-0.0505449999999989,0.2920693097322966,4.8585,192.6,0.653546306068286
pg_spie_r2_k8,0.5439999999999999,0.0225,0.0106066017177982,0.0075,-0.1318199999999992,0.079124274088297,4.817,230.6,1.021584946132452
