seed,variant,final_success_rate,final_mean_return,final_mean_steps,episodes_to_90pct,env_steps_to_90pct,greedy_eval_success,learn_steps
0,dueling_dqn,0.88,7.894400000000002,94.38,,,1.0,44770
1,dueling_dqn,0.78,6.678900000000002,107.41,,,1.0,44261
2,dueling_dqn,0.81,6.9869,105.81,,,1.0,48902
