seed,version,algo,train_greedy_success,heldout_greedy_success,generalization_gap,final_train_episode_success,q_table_size,learn_steps
0,v1_2,spie_dqn,1.0,0.0,1.0,0.15,0,12946
1,v1_2,spie_dqn,1.0,0.0,1.0,0.15,0,13196
