seed,version,algo,train_greedy_success,heldout_greedy_success,generalization_gap,final_train_episode_success,q_table_size,learn_steps
0,v1_1,dueling_ddqn_per,1.0,0.375,0.625,0.2,0,13997
1,v1_1,dueling_ddqn_per,1.0,0.5,0.5,0.25,0,12656
