seed,version,algo,train_greedy_success,heldout_greedy_success,generalization_gap,final_train_episode_success,q_table_size,learn_steps
0,v1_1,spie_ddqn,1.0,0.125,0.875,0.21666666666666667,0,13384
1,v1_1,spie_ddqn,1.0,0.25,0.75,0.2,0,13572
