seed,final_success_rate,final_mean_return,final_mean_steps,episodes_to_90pct,env_steps_to_90pct,greedy_eval_success,q_table_size
0,0.98,9.3801,69.01,870,170583,1.0,9037
1,0.98,9.3616,68.62,863,172695,1.0,9128
2,0.99,9.498,67.36,835,169973,1.0,8796
3,0.99,9.486099999999999,68.43,762,159710,1.0,9043
4,0.98,9.3788,68.82,811,168771,1.0,9567
