episode,intrinsic_contribution,td_abs_mean,learn_calls,gate_advance,gate_neutral,gate_proxy,allowed_intrinsic,suppressed_intrinsic
1,108.1642706423909,0.5214776704762725,276,0,0,0,0.0,0.0
2,108.19034415105969,0.5077670092923917,276,0,0,0,0.0,0.0
3,104.87147853079033,0.47875673493937304,276,0,0,0,0.0,0.0
4,98.3182648701232,0.39831322037439415,276,0,0,0,0.0,0.0
5,77.15958065179744,0.2758843673636084,276,0,0,0,0.0,0.0
6,55.837466285508505,0.2575647713265557,276,0,0,0,0.0,0.0
7,69.6093122933863,0.2540156364009,276,0,0,0,0.0,0.0
8,115.96603569382606,0.1902685517958109,276,0,0,0,0.0,0.0
9,91.83998131904468,0.15281188780900792,276,0,0,0,0.0,0.0
10,86.84893456699247,0.14521717805199433,276,0,0,0,0.0,0.0
11,96.05322439650885,0.15034678154557513,276,0,0,0,0.0,0.0
12,78.03188765342378,0.11056381161662115,276,0,0,0,0.0,0.0
13,85.94449064245163,0.10102661142962566,276,0,0,0,0.0,0.0
14,91.31280265391231,0.10225712193473094,276,0,0,0,0.0,0.0
15,83.9052884311242,0.1027789956525616,276,0,0,0,0.0,0.0
16,90.22897837785112,0.09684379617481129,276,0,0,0,0.0,0.0
17,74.09872055884613,0.09486824288910282,276,0,0,0,0.0,0.0
18,60.460660646682975,0.09377395933952884,276,0,0,0,0.0,0.0
19,57.09252072070245,0.10563171036757421,276,0,0,0,0.0,0.0
20,47.41388338209169,0.09277661691379288,276,0,0,0,0.0,0.0
21,54.863732390893716,0.09464021745151367,276,0,0,0,0.0,0.0
22,38.926195618407675,0.09134203751665959,276,0,0,0,0.0,0.0
23,71.96484327986958,0.09116318734173758,276,0,0,0,0.0,0.0
24,34.82610822643455,0.09457188219749842,276,0,0,0,0.0,0.0
25,38.90824892449851,0.09184149955061899,276,0,0,0,0.0,0.0
26,60.94734964531041,0.0970715143704328,276,0,0,0,0.0,0.0
