episode,intrinsic_contribution,td_abs_mean,learn_calls
1,0.0,0.5647590899783553,198
2,0.0,0.5200434984450323,276
3,0.0,0.47589441437436186,276
4,0.0,0.4666369485574356,276
5,0.0,0.31993413978404756,276
6,0.0,0.2930127186835676,276
7,0.0,0.29032811847771856,276
8,0.0,0.20758094215441658,276
9,0.0,0.14003238415993427,276
10,0.0,0.11795987103107398,276
11,0.0,0.11690527546233025,276
12,0.0,0.09150767553111781,276
13,0.0,0.07441097551254906,276
14,0.0,0.060238367418988026,276
15,0.0,0.06480388273147569,276
16,0.0,0.07195346759281297,276
17,0.0,0.042170008826676916,276
18,0.0,0.03423475075945042,276
19,0.0,0.07655144919492844,276
20,0.0,0.06003189187469906,276
21,0.0,0.053465378349242004,276
22,0.0,0.055668080886960895,276
23,0.0,0.10099923139626997,276
24,0.0,0.052890705788319094,276
25,0.0,0.04737378306605894,276
26,0.0,0.06999174138342125,276
27,0.0,0.06897064808594144,276
28,0.0,0.06868769684671491,276
29,0.0,0.060889756556708315,276
30,0.0,0.09712917010799266,276
31,0.0,0.07784471774230832,276
32,0.0,0.06462391970706159,276
33,0.0,0.06504237345433321,276
34,0.0,0.09008512926706369,276
35,0.0,0.06288850730608987,276
36,0.0,0.07298622621844213,276
37,0.0,0.10459009386545075,276
38,0.0,0.1105853664027392,276
39,0.0,0.10062909006154623,276
40,0.0,0.09429967074074606,276
41,0.0,0.14408096754788488,276
42,0.0,0.11305666253294634,276
43,0.0,0.10140375174797964,276
44,0.0,0.11781679869939883,276
45,0.0,0.15139424641603144,276
46,0.0,0.1599550061467765,276
47,0.0,0.1526385650470637,276
48,0.0,0.1873605924833944,276
49,0.0,0.15478330472673196,276
50,0.0,0.14858655034955862,276
51,0.0,0.15175599442875903,276
52,0.0,0.20814532211617284,276
53,0.0,0.19606852334370647,276
54,0.0,0.2258459370907234,276
55,0.0,0.29400803488881694,276
56,0.0,0.2509366311672805,276
57,0.0,0.25487673633556435,276
58,0.0,0.2790679065105708,276
59,0.0,0.30096653865083406,276
60,0.0,0.27090678056297096,276
61,0.0,0.3140806475303311,276
62,0.0,0.35925345927260927,276
63,0.0,0.2935158934822117,276
64,0.0,0.2847510908284913,276
65,0.0,0.29070406374724017,276
66,0.0,0.2822535799249359,276
67,0.0,0.26215554425573867,276
68,0.0,0.25621606279974396,276
69,0.0,0.2412250264669242,276
70,0.0,0.27085782366170397,276
71,0.0,0.250391637555499,276
72,0.0,0.23236138157654498,276
73,0.0,0.25747125258372316,276
74,0.0,0.25150634985471115,276
75,0.0,0.23406141051563664,276
76,0.0,0.27682493297734123,276
77,0.0,0.2659227665567744,276
78,0.0,0.24935613607690818,276
79,0.0,0.24663906757706316,276
80,0.0,0.24997866788096185,276
81,0.0,0.29459080116256425,276
82,0.0,0.25077587644151156,276
83,0.0,0.2567380661333817,276
84,0.0,0.25316792472765065,276
85,0.0,0.25687270460353384,276
86,0.0,0.24940479498194612,276
87,0.0,0.2546726273831682,276
88,0.0,0.289658502554116,276
89,0.0,0.27227735233263695,276
90,0.0,0.2690852448560189,276
91,0.0,0.2695595404484134,276
92,0.0,0.27882621664067975,276
93,0.0,0.28369359142970346,276
94,0.0,0.28929199402530986,276
95,0.0,0.2929403366709965,276
96,0.0,0.30222561291378475,276
