episode,intrinsic_contribution,td_abs_mean,learn_calls,gate_advance,gate_neutral,gate_proxy,allowed_intrinsic,suppressed_intrinsic
1,0.0,0.2341391528132318,87,0,0,0,0.0,0.0
2,0.0,0.3111813450548925,147,0,0,0,0.0,0.0
3,0.0,0.2638058368952907,98,0,0,0,0.0,0.0
4,0.0,0.2548642350094659,98,0,0,0,0.0,0.0
5,0.0,0.23806106167681076,102,0,0,0,0.0,0.0
6,0.0,0.20116456284903098,276,0,0,0,0.0,0.0
7,0.0,0.20727718108590099,276,0,0,0,0.0,0.0
8,0.0,0.22454892776229166,88,0,0,0,0.0,0.0
9,0.0,0.20973124209305513,92,0,0,0,0.0,0.0
10,0.0,0.19334680450031128,87,0,0,0,0.0,0.0
11,0.0,0.17362471519226438,89,0,0,0,0.0,0.0
12,0.0,0.18051354901999542,97,0,0,0,0.0,0.0
13,0.0,0.1882070606946945,100,0,0,0,0.0,0.0
14,0.0,0.17056165308672555,98,0,0,0,0.0,0.0
15,0.0,0.16949173179117666,276,0,0,0,0.0,0.0
16,0.0,0.22441676890059392,98,0,0,0,0.0,0.0
17,0.0,0.16780016997802086,276,0,0,0,0.0,0.0
18,0.0,0.15709278295221535,276,0,0,0,0.0,0.0
19,0.0,0.15205235203558748,88,0,0,0,0.0,0.0
20,0.0,0.16186656074767763,88,0,0,0,0.0,0.0
21,0.0,0.13663842606133428,87,0,0,0,0.0,0.0
22,0.0,0.16231516991951028,98,0,0,0,0.0,0.0
23,0.0,0.20381121221335902,276,0,0,0,0.0,0.0
24,0.0,0.15300205814233725,276,0,0,0,0.0,0.0
25,0.0,0.14772872179746627,100,0,0,0,0.0,0.0
26,0.0,0.13964947487930862,98,0,0,0,0.0,0.0
27,0.0,0.13645961306989193,100,0,0,0,0.0,0.0
28,0.0,0.12582886235957796,88,0,0,0,0.0,0.0
29,0.0,0.19277508741187066,97,0,0,0,0.0,0.0
30,0.0,0.1792919257921832,98,0,0,0,0.0,0.0
31,0.0,0.15153277057992376,276,0,0,0,0.0,0.0
32,0.0,0.11963512783573158,276,0,0,0,0.0,0.0
33,0.0,0.12280940164582453,276,0,0,0,0.0,0.0
34,0.0,0.23130041707984425,88,0,0,0,0.0,0.0
35,0.0,0.17196902891863947,276,0,0,0,0.0,0.0
36,0.0,0.12897894497622142,88,0,0,0,0.0,0.0
37,0.0,0.11952813593100528,98,0,0,0,0.0,0.0
38,0.0,0.11571253825356995,276,0,0,0,0.0,0.0
39,0.0,0.12053624799056929,98,0,0,0,0.0,0.0
40,0.0,0.11849957898259163,100,0,0,0,0.0,0.0
41,0.0,0.22203189856612804,97,0,0,0,0.0,0.0
42,0.0,0.16054398901760578,100,0,0,0,0.0,0.0
43,0.0,0.14629095719884272,276,0,0,0,0.0,0.0
44,0.0,0.11852148773175651,276,0,0,0,0.0,0.0
45,0.0,0.10027888000011444,100,0,0,0,0.0,0.0
46,0.0,0.09845984742349508,98,0,0,0,0.0,0.0
47,0.0,0.1754518967607747,92,0,0,0,0.0,0.0
48,0.0,0.18831087994514054,97,0,0,0,0.0,0.0
49,0.0,0.14494475509053556,276,0,0,0,0.0,0.0
50,0.0,0.11584732351316647,88,0,0,0,0.0,0.0
51,0.0,0.1041568757939166,276,0,0,0,0.0,0.0
52,0.0,0.1432195188936548,276,0,0,0,0.0,0.0
53,0.0,0.18229810163682822,98,0,0,0,0.0,0.0
54,0.0,0.15102860856462608,88,0,0,0,0.0,0.0
55,0.0,0.11874926300800365,276,0,0,0,0.0,0.0
56,0.0,0.10156601755137461,276,0,0,0,0.0,0.0
57,0.0,0.09570825183574035,98,0,0,0,0.0,0.0
58,0.0,0.09291610567049048,87,0,0,0,0.0,0.0
59,0.0,0.20585379597138276,88,0,0,0,0.0,0.0
60,0.0,0.17167396970431914,88,0,0,0,0.0,0.0
61,0.0,0.14057237784169158,98,0,0,0,0.0,0.0
62,0.0,0.1227924880180238,276,0,0,0,0.0,0.0
63,0.0,0.10204630148043667,276,0,0,0,0.0,0.0
64,0.0,0.10191947750747204,100,0,0,0,0.0,0.0
65,0.0,0.15776267096664778,169,0,0,0,0.0,0.0
66,0.0,0.16502061140710028,276,0,0,0,0.0,0.0
67,0.0,0.1185291599266339,276,0,0,0,0.0,0.0
68,0.0,0.10882474344385706,92,0,0,0,0.0,0.0
69,0.0,0.10546950030387664,98,0,0,0,0.0,0.0
70,0.0,0.13695998712564292,276,0,0,0,0.0,0.0
71,0.0,0.16064922406297663,92,0,0,0,0.0,0.0
72,0.0,0.13689395998205459,98,0,0,0,0.0,0.0
73,0.0,0.11913468493995341,88,0,0,0,0.0,0.0
74,0.0,0.10700220773941364,276,0,0,0,0.0,0.0
75,0.0,0.10930253483355046,100,0,0,0,0.0,0.0
76,0.0,0.12158406779601955,276,0,0,0,0.0,0.0
77,0.0,0.17371780527890593,276,0,0,0,0.0,0.0
78,0.0,0.11855499589464803,276,0,0,0,0.0,0.0
79,0.0,0.10625957738122215,276,0,0,0,0.0,0.0
80,0.0,0.09649234866215424,88,0,0,0,0.0,0.0
81,0.0,0.16318364257829776,276,0,0,0,0.0,0.0
82,0.0,0.11535423929276674,276,0,0,0,0.0,0.0
83,0.0,0.11172876312312754,88,0,0,0,0.0,0.0
84,0.0,0.10330093961101079,276,0,0,0,0.0,0.0
85,0.0,0.09460817431302174,92,0,0,0,0.0,0.0
86,0.0,0.141226403711533,88,0,0,0,0.0,0.0
87,0.0,0.18250638593665577,88,0,0,0,0.0,0.0
88,0.0,0.14665725499391555,100,0,0,0,0.0,0.0
89,0.0,0.11757596221166788,97,0,0,0,0.0,0.0
90,0.0,0.10568319390318831,98,0,0,0,0.0,0.0
91,0.0,0.10885783452270688,276,0,0,0,0.0,0.0
92,0.0,0.10106605506434883,97,0,0,0,0.0,0.0
