episode,intrinsic_contribution,td_abs_mean,learn_calls,gate_advance,gate_neutral,gate_proxy,allowed_intrinsic,suppressed_intrinsic,proxy_penalty_total,proxy_penalty_count
1,2.99247016040487,0.28046208856818833,107,6,101,0,2.99247016040487,40.78099270959463,0.0,0
2,2.9625411623006532,0.28366738703192734,246,6,240,0,2.9625411623006532,46.72144327130788,0.0,0
3,2.9131000366929647,0.24237115137899914,96,6,90,0,2.9131000366929647,30.69983764378272,0.0,0
4,2.855693541428011,0.2380029912505831,105,6,99,0,2.855693541428011,29.290510506477705,0.0,0
5,2.7905073150933717,0.22563993171291444,103,6,97,0,2.7905073150933717,26.56081876048367,0.0,0
6,2.7232294564339785,0.21337257054719058,88,6,82,0,2.7232294564339785,24.394639162391947,0.0,0
7,2.6545350518180304,0.2218866816908121,100,6,94,0,2.6545350518180304,24.06892697912777,0.0,0
8,2.587783937446497,0.20528057488528165,88,6,82,0,2.587783937446497,22.62286644420366,0.0,0
9,2.522164541733923,0.24509001819832812,103,6,97,0,2.522164541733923,22.966444012716586,0.0,0
10,2.459913148334856,0.2446765856008337,99,6,93,0,2.459913148334856,21.24981140616328,0.0,0
11,2.3996699895478524,0.186359745139877,276,6,270,0,2.3996699895478524,27.052100008688413,0.0,0
12,2.343092839021629,0.15419676275265337,99,6,93,0,2.343092839021629,19.711709318114,0.0,0
13,-8.107368342835205,0.15480063834052155,276,4,217,55,1.5177650683475439,56.250587448023936,9.625133411182754,55
14,2.2532883649915787,0.15342248048560292,102,6,96,0,2.2532883649915787,19.211861936624175,0.0,0
15,2.203887725606932,0.1594028795517764,103,6,97,0,2.203887725606932,18.84065140662217,0.0,0
16,2.1576366707663155,0.18907405055411483,276,6,270,0,2.1576366707663155,23.251128381841763,0.0,0
17,1.7634394076375106,0.14817171732800594,276,5,271,0,1.7634394076375106,33.70696608260028,0.0,0
18,2.0784472768989035,0.13193199505516584,276,6,270,0,2.0784472768989035,23.595684754523983,0.0,0
19,2.0375958915411063,0.13575686387717723,100,6,94,0,2.0375958915411063,17.178046088680205,0.0,0
20,1.998561200430117,0.17417564610208291,276,6,270,0,1.998561200430117,22.736568829698083,0.0,0
21,1.9607300604602416,0.15640949810806073,95,6,89,0,1.9607300604602416,17.458526496755816,0.0,0
22,1.9366971447569854,0.13118967195243939,276,6,270,0,1.9366971447569854,20.75855558450815,0.0,0
23,1.902040207977706,0.11989814259003902,276,6,270,0,1.902040207977706,20.673019733535703,0.0,0
24,1.8687593512635046,0.11924354530104966,107,6,101,0,1.8687593512635046,17.431360288881876,0.0,0
25,1.8370002541075885,0.18700065868704216,276,6,270,0,1.8370002541075885,27.274373349423506,0.0,0
26,1.1919118636944666,0.14158031509082386,276,4,272,0,1.1919118636944666,38.503025815263705,0.0,0
27,1.7988575328938095,0.12744186999465246,276,6,270,0,1.7988575328938095,24.559157913116813,0.0,0
28,1.7692915790448347,0.15117211553497592,276,6,270,0,1.7692915790448347,20.770693117134012,0.0,0
29,1.7514835555883312,0.17969732718083306,276,6,270,0,1.7514835555883312,19.75185357627264,0.0,0
30,1.7324980830044527,0.13249787215845307,276,6,270,0,1.7324980830044527,21.638925677140943,0.0,0
31,1.7128590742807512,0.13089751309216624,99,6,93,0,1.7128590742807512,13.869855395381494,0.0,0
32,1.68651531569811,0.12258557996992926,103,6,97,0,1.68651531569811,14.27296387379958,0.0,0
33,1.6607204544631922,0.14308339273692042,276,6,270,0,1.6607204544631922,18.55858231135195,0.0,0
34,1.6356195375799771,0.1979616383711497,102,6,96,0,1.6356195375799771,13.628488855559214,0.0,0
35,1.610875009489582,0.14633759060530988,103,6,97,0,1.610875009489582,13.797570211615508,0.0,0
36,1.586010908438436,0.1472801323784025,95,6,89,0,1.586010908438436,14.654375705474875,0.0,0
37,1.573055217407381,0.14057878059210235,97,6,91,0,1.573055217407381,14.86073893982541,0.0,0
38,1.5590659251904948,0.12783986212391601,95,6,89,0,1.5590659251904948,14.154866046942619,0.0,0
39,1.544892539587702,0.11823234097524123,88,6,82,0,1.544892539587702,12.576869186256399,0.0,0
40,1.5182151046909806,0.10592827599759054,99,6,93,0,1.5182151046909806,12.64809209696457,0.0,0
41,1.4925812581843918,0.13758108476041883,276,6,270,0,1.4925812581843918,17.196068450984697,0.0,0
42,1.4679932336677148,0.16114122779580994,276,6,270,0,1.4679932336677148,16.98896094901682,0.0,0
43,1.4443351253381664,0.12484835387895936,276,6,270,0,1.4443351253381664,19.52090042230694,0.0,0
44,1.4217585987002463,0.11716527991212797,276,6,270,0,1.4217585987002463,18.095726720330266,0.0,0
45,1.4002050000553092,0.11339164423671635,99,6,93,0,1.4002050000553092,12.029838791044211,0.0,0
46,1.3788261901580514,0.1748921866479673,95,6,89,0,1.3788261901580514,13.300616649470328,0.0,0
47,1.3692822642114084,0.17770281245986236,103,6,97,0,1.3692822642114084,14.201493646181847,0.0,0
48,1.360179081067478,0.1474911050455084,103,6,97,0,1.360179081067478,12.254916015959518,0.0,0
49,1.338386456539315,0.12493444096458994,276,6,270,0,1.338386456539315,16.23327831168119,0.0,0
50,1.3179680003769898,0.1201727581769228,100,6,94,0,1.3179680003769898,11.79037076854514,0.0,0
51,1.2990063883955314,0.10782769991867784,276,6,270,0,1.2990063883955314,16.015664112685165,0.0,0
52,1.2813355875513717,0.15128982526020726,276,6,270,0,1.2813355875513717,15.929157313511224,0.0,0
53,1.264098648636222,0.12295822688526865,276,6,270,0,1.264098648636222,20.83372025276182,0.0,0
54,1.259560487200858,0.11348919048905373,95,6,89,0,1.259560487200858,12.163279667374299,0.0,0
55,1.255410181214959,0.11314496474171226,88,6,82,0,1.255410181214959,10.90497252749975,0.0,0
56,1.2381175128097712,0.11274649697207959,107,6,101,0,1.2381175128097712,12.853742617465597,0.0,0
57,1.2219877282533447,0.12239944779624541,276,6,270,0,1.2219877282533447,15.88390931112457,0.0,0
58,1.2129423920332352,0.1929297863971442,96,6,90,0,1.2129423920332352,11.999966672353127,0.0,0
59,1.2093943411823858,0.12248968487059263,266,6,260,0,1.2093943411823858,16.82186171219131,0.0,0
60,1.2061154165291976,0.11496203604574297,102,6,96,0,1.2061154165291976,10.849803432833504,0.0,0
61,1.1891364117509564,0.11289751968885722,95,6,89,0,1.1891364117509564,11.529580666311896,0.0,0
62,1.1866148588655197,0.10247901463034478,88,6,82,0,1.1866148588655197,10.4368290748861,0.0,0
63,1.1710616645836258,0.10561032000590455,88,6,82,0,1.1710616645836258,10.379986111179289,0.0,0
64,1.1568136170585959,0.12343971568929113,276,6,270,0,1.1568136170585959,14.917091658145116,0.0,0
65,1.1436251352031392,0.13968002866359724,276,6,270,0,1.1436251352031392,15.341659868650178,0.0,0
66,1.1356895918372816,0.10391750205578147,276,6,270,0,1.1356895918372816,15.437371430236126,0.0,0
67,1.1236427139075758,0.10243368208408356,100,6,94,0,1.1236427139075758,10.62439147241765,0.0,0
