seed,final_success_rate,final_mean_return,final_mean_steps,episodes_to_90pct,env_steps_to_90pct,greedy_eval_success,q_table_size
0,0.98,9.3851,67.03,906,168734,1.0,9105
1,0.97,9.25,71.3,858,163601,1.0,9694
2,0.99,9.5165,66.59,834,159776,1.0,9506
3,0.97,9.265500000000001,70.53,810,156091,1.0,9195
4,0.96,9.1415,72.19,779,156596,1.0,9029
