seed,version,algo,train_greedy_success,heldout_greedy_success,generalization_gap,final_train_episode_success,q_table_size,learn_steps
0,v1_2,dueling_ddqn_per,1.0,0.125,0.875,0.3333333333333333,0,11963
1,v1_2,dueling_ddqn_per,1.0,0.0,1.0,0.2,0,13764
