seed,variant,final_success_rate,final_mean_return,final_mean_steps,episodes_to_90pct,env_steps_to_90pct,greedy_eval_success,learn_steps
0,dueling_ddqn_per,0.74,6.182500000000002,118.07,,,1.0,44580
1,dueling_ddqn_per,0.89,8.057200000000002,94.58,,,1.0,40682
2,dueling_ddqn_per,0.89,7.949300000000001,92.81,,,1.0,43224
