seed,version,algo,train_greedy_success,heldout_greedy_success,generalization_gap,final_train_episode_success,q_table_size,learn_steps
0,v1_1,spie_noisy_dueling_ddqn_per,0.75,0.125,0.625,0.9333333333333333,0,6101
1,v1_1,spie_noisy_dueling_ddqn_per,1.0,0.375,0.625,0.9333333333333333,0,5989
