episode,intrinsic_contribution,td_abs_mean,learn_calls
1,0.0,0.5234454636448536,276
2,0.0,0.5006121112222689,276
3,0.0,0.4639973449588254,276
4,0.0,0.3658203886200984,276
5,0.0,0.24814379081615937,276
6,0.0,0.23187554434530044,190
7,0.0,0.22480143732863708,276
8,0.0,0.17372286276540894,276
9,0.0,0.09679712543426,276
10,0.0,0.0948807230975101,276
11,0.0,0.09506140009203143,276
12,0.0,0.039925295275811484,276
13,0.0,0.028264799914525254,276
14,0.0,0.027302805349514212,276
15,0.0,0.02435851539147721,276
16,0.0,0.017065494579425,276
17,0.0,0.016088382843746873,276
18,0.0,0.016204379385917622,276
19,0.0,0.01405853553391669,276
20,0.0,0.013441947477775208,276
21,0.0,0.012276868607538441,276
22,0.0,0.01173503003825528,276
23,0.0,0.00962144011999413,276
24,0.0,0.008505982872388879,276
25,0.0,0.007971164606768045,276
26,0.0,0.007724266328032304,276
27,0.0,0.006966016892229031,276
28,0.0,0.006592818136846619,276
29,0.0,0.00599233766147138,276
30,0.0,0.006036929452987522,276
31,0.0,0.005857276570801016,276
32,0.0,0.005292695635706996,276
33,0.0,0.005544110518488763,276
34,0.0,0.0059729237556525,276
35,0.0,0.005397540240454069,276
36,0.0,0.004972599517635029,276
37,0.0,0.00576404967105718,276
38,0.0,0.005339168473585522,276
39,0.0,0.005208414295128128,276
40,0.0,0.004958304507401434,276
41,0.0,0.00527590342571257,276
42,0.0,0.004370787156496089,276
43,0.0,0.004162767238955459,276
44,0.0,0.004564285684086761,276
45,0.0,0.0043025522583933625,276
46,0.0,0.0045662166118837786,276
47,0.0,0.0042190353581816826,276
48,0.0,0.004843671592728545,276
49,0.0,0.0048651717589709206,276
50,0.0,0.004871362545257569,276
51,0.0,0.004211216511211587,276
52,0.0,0.004464572505600265,276
53,0.0,0.004122259600621149,276
54,0.0,0.0040040189076377,276
55,0.0,0.004339254684780009,276
56,0.0,0.0042380715991991265,276
57,0.0,0.003693790707325536,276
58,0.0,0.0037626559686664814,276
59,0.0,0.004657656064871158,276
60,0.0,0.005036079347558805,276
61,0.0,0.0036692522100064957,276
62,0.0,0.003936971746978985,276
63,0.0,0.005149178747661358,276
64,0.0,0.0044088947546222935,276
65,0.0,0.0037006701762868984,276
66,0.0,0.003987943958592317,276
67,0.0,0.003944705976038307,276
68,0.0,0.0037279880641068776,276
69,0.0,0.003924397868104279,276
70,0.0,0.004897374522271633,276
71,0.0,0.005764366346040228,276
72,0.0,0.004219493163121945,276
73,0.0,0.004124541273441813,276
74,0.0,0.003721984702270424,276
75,0.0,0.0035282993462253903,276
76,0.0,0.0038606662191855517,276
77,0.0,0.0042446064982104344,276
78,0.0,0.004307121722587803,276
79,0.0,0.004215537546796428,276
80,0.0,0.003943590621929616,276
81,0.0,0.004780889100705584,276
82,0.0,0.004130864871895292,276
83,0.0,0.004121046849489347,276
84,0.0,0.004453248317366925,276
85,0.0,0.003732940255060279,276
86,0.0,0.0037247445375280645,276
87,0.0,0.0035604682600841034,276
88,0.0,0.003929551674366888,276
89,0.0,0.0035515055077258444,276
90,0.0,0.0033341492597938286,276
91,0.0,0.0035666155559685676,276
92,0.0,0.003171228030544665,276
93,0.0,0.0031727531598374735,276
94,0.0,0.0030329659774366332,276
95,0.0,0.003299977445208967,276
96,0.0,0.003180678947778095,276
97,0.0,0.003386258843618081,276
98,0.0,0.0030906730064906287,276
99,0.0,0.0034887065070822996,276
100,0.0,0.003312846909334505,276
101,0.0,0.003126342321131918,276
102,0.0,0.0033034804543696237,276
103,0.0,0.003141768183053026,276
104,0.0,0.0037356392898853273,276
105,0.0,0.0044140869496808646,276
106,0.0,0.0037939338194057886,276
107,0.0,0.003374626039210167,276
108,0.0,0.003682535733062558,276
109,0.0,0.0032326495308644962,276
110,0.0,0.003168580027388247,276
111,0.0,0.0028425436585034795,276
112,0.0,0.0025567768683211634,276
113,0.0,0.0027105664295326596,276
114,0.0,0.002654384082247355,276
115,0.0,0.0026663358570447704,276
116,0.0,0.002859011497449778,276
117,0.0,0.0033550566708520596,276
118,0.0,0.003493230676015272,276
119,0.0,0.003262426510142783,276
120,0.0,0.0034062757310322554,276
121,0.0,0.003853671296172357,276
122,0.0,0.0032878674147481884,276
123,0.0,0.003356777413316287,276
124,0.0,0.0035456948368675144,276
125,0.0,0.0032521010586566736,276
126,0.0,0.003317692458369783,276
127,0.0,0.002971681361710923,276
128,0.0,0.0038864525558892637,276
129,0.0,0.0034828224376289418,276
130,0.0,0.00368558041763195,276
131,0.0,0.0035398711641892737,276
132,0.0,0.0028716927019717254,276
133,0.0,0.0028702861218598496,276
134,0.0,0.003212860049393055,276
135,0.0,0.0033201131791692983,276
136,0.0,0.0033226594627510917,276
137,0.0,0.0032754275345486467,276
138,0.0,0.003270062506603806,276
139,0.0,0.003110995434985523,276
140,0.0,0.002848042344313412,276
141,0.0,0.0027854596990147147,276
142,0.0,0.0030034954627584398,276
143,0.0,0.0029953069108845398,276
