seed,version,algo,train_greedy_success,heldout_greedy_success,generalization_gap,final_train_episode_success,q_table_size,learn_steps
0,v1_4,dqn,0.0,0.0,0.0,0.0,0,55726
1,v1_4,dqn,0.0,0.0,0.0,0.0,0,65650
