seed,version,algo,train_greedy_success,heldout_greedy_success,generalization_gap,final_train_episode_success,q_table_size
0,v1_4,q_learning,0.0,0.0,0.0,0.0,94677
1,v1_4,q_learning,0.0,0.0,0.0,0.0,98695
2,v1_4,q_learning,0.0,0.0,0.0,0.0,96888
